Code,Area,Year,Measure,Value mar,Value Jun,Value Sep,Value Dec,Housing_Average
E02000203,Croydon 010,2017,Mean,305768,310489,320475,318117,313712.25
E02000204,Croydon 011,2017,Mean,312287,325313,335790,355356,332186.5
E02000206,Croydon 013,2017,Mean,300779,308572,320715,313088,310788.5
E02000207,Croydon 014,2017,Mean,321531,335206,336128,329710,330643.75
E02000208,Croydon 015,2017,Mean,273104,279157,280478,288072,280202.75
E02000209,Croydon 016,2017,Mean,312852,314119,310135,316485,313397.75
E02000210,Croydon 017,2017,Mean,370754,364239,363103,359670,364441.5
E02000211,Croydon 018,2017,Mean,404093,413928,417243,414980,412561
E02000212,Croydon 019,2017,Mean,300473,301040,303388,308887,303447
E02000213,Croydon 020,2017,Mean,302988,289480,279744,285928,289535
E02000214,Croydon 021,2017,Mean,460013,452928,464715,453634,457822.5
E02000215,Croydon 022,2017,Mean,348765,354644,356250,363241,355725
E02000216,Croydon 023,2017,Mean,446921,459341,488531,491128,471480.25
E02000217,Croydon 024,2017,Mean,297018,290860,290903,294449,293307.5
E02000218,Croydon 025,2017,Mean,446552,466236,484698,495968,473363.5
E02000219,Croydon 026,2017,Mean,499680,480404,481059,484018,486290.25
E02000220,Croydon 027,2017,Mean,303755,316919,346939,350200,329453.25
E02000221,Croydon 028,2017,Mean,331592,340283,345329,344183,340346.75
E02000222,Croydon 029,2017,Mean,374191,382887,397876,401234,389047
E02000223,Croydon 030,2017,Mean,274333,278857,283192,292840,282305.5
E02000224,Croydon 031,2017,Mean,368179,374508,385568,374488,375685.75
E02000225,Croydon 032,2017,Mean,308627,316316,318883,321640,316366.5
E02000226,Croydon 033,2017,Mean,437669,484671,492016,495780,477534
E02000227,Croydon 034,2017,Mean,302132,309059,313538,320354,311270.75
E02000228,Croydon 035,2017,Mean,616097,635957,623093,620609,623939
E02000229,Croydon 036,2017,Mean,296032,294681,308732,319077,304630.5
E02000230,Croydon 037,2017,Mean,423154,423929,434494,448459,432509
E02000231,Croydon 038,2017,Mean,677076,705010,746226,747820,719033
E02000232,Croydon 039,2017,Mean,536691,529997,525223,525476,529346.75
E02000233,Croydon 040,2017,Mean,423022,422729,401163,424061,417743.75
E02000234,Croydon 041,2017,Mean,480884,481751,451702,428264,460650.25
