MSOA11CD,MSOA11NM,CC_Counts,Num_Counts,CC_Average
E02000110,Brent 018,0.412258991,53,0.007778472
E02000111,Brent 019,0.746823945,109,0.006851596
E02000112,Brent 020,0.899778517,122,0.007375234
E02000113,Brent 021,1.522314448,194,0.007846982
E02000114,Brent 022,0.523623888,68,0.007700351
E02000115,Brent 023,0.309793242,40,0.007744831
E02000116,Brent 024,0.548861411,70,0.007840877
E02000117,Brent 025,1.13337627,145,0.007816388
E02000118,Brent 026,0.728466094,99,0.007358243
E02000119,Brent 027,1.561146429,200,0.007805732
E02000120,Brent 028,0.439453627,59,0.007448367
E02000121,Brent 029,0.984081003,134,0.007343888
