MSOA11CD,MSOA11NM,WD20CD,WD20NM,inlondon,ward_area_hectare,green_area_hectare,blue_area_hectare,green+blue_area_hectare,percent_green,percent_blue,percent_green+blue
E02000089,Bexley 025,E05011220,Blackfen & Lamorbey,TRUE,290.792,99.95373844,2.281961664,102.2357001,34.3729327,0.78474018,35.15767288
E02000085,Bexley 021,E05011221,Blendon & Penhill,TRUE,337.376,134.9822879,1.957305005,136.9395929,40.00945173,0.580155377,40.58960711
E02000088,Bexley 024,E05011221,Blendon & Penhill,TRUE,337.376,134.9822879,1.957305005,136.9395929,40.00945173,0.580155377,40.58960711
E02000083,Bexley 019,E05011222,Crayford,TRUE,511.336,222.0168846,5.984936062,228.0018206,43.41898176,1.170450753,44.58943251
E02000075,Bexley 011,E05011223,Crook Log,TRUE,267.716,72.03152428,0.104734896,72.13625918,26.90594671,0.039121642,26.94506835
E02000084,Bexley 020,E05011223,Crook Log,TRUE,267.716,72.03152428,0.104734896,72.13625918,26.90594671,0.039121642,26.94506835
E02006785,Bexley 029,E05011224,East Wickham,TRUE,281.719,107.8333303,0.115244076,107.9485743,38.27691077,0.040907456,38.31781823
E02000077,Bexley 013,E05011224,East Wickham,TRUE,281.719,107.8333303,0.115244076,107.9485743,38.27691077,0.040907456,38.31781823
E02000068,Bexley 004,E05011225,Erith,TRUE,322.572,91.32925583,80.64151117,171.970767,28.31282809,24.99953845,53.31236654
E02000069,Bexley 005,E05011225,Erith,TRUE,322.572,91.32925583,80.64151117,171.970767,28.31282809,24.99953845,53.31236654
E02000082,Bexley 018,E05011226,Falconwood & Welling,TRUE,326.055,119.8818113,7.924347891,127.8061592,36.76735867,2.43037153,39.1977302
E02000080,Bexley 016,E05011226,Falconwood & Welling,TRUE,326.055,119.8818113,7.924347891,127.8061592,36.76735867,2.43037153,39.1977302
E02000090,Bexley 026,E05011227,Longlands,TRUE,188.689,79.11372994,0.133233015,79.24696295,41.92810918,0.070609848,41.99871903
E02000071,Bexley 007,E05011228,Northumberland Heath,TRUE,171.374,45.63694862,0.025091995,45.66204061,26.63003059,0.014641658,26.64467225
E02000087,Bexley 023,E05011229,St Mary's & St James,TRUE,874.656,660.4498537,9.188928204,669.6387819,75.50966936,1.05057625,76.56024561
E02000092,Bexley 028,E05011229,St Mary's & St James,TRUE,874.656,660.4498537,9.188928204,669.6387819,75.50966936,1.05057625,76.56024561
E02000091,Bexley 027,E05011230,Sidcup,TRUE,398.964,170.028661,0.760743201,170.7894042,42.61754469,0.190679661,42.80822435
E02000072,Bexley 008,E05011231,Slade Green & Northend,TRUE,554.256,243.1420186,128.4244915,371.5665101,43.86817979,23.17060916,67.03878895
E02000066,Bexley 002,E05011232,Thamesmead East,TRUE,514.392,219.1713683,113.6977219,332.8690903,42.60784933,22.10332236,64.71117169
E02000065,Bexley 001,E05011232,Thamesmead East,TRUE,514.392,219.1713683,113.6977219,332.8690903,42.60784933,22.10332236,64.71117169
