MSOA11CD,MSOA11NM,BC_w_MSOA
E02000564,Islington 011,42126765.31
E02000565,Islington 012,57316732.5
E02000566,Islington 013,43083595.44
E02000567,Islington 014,68307081.47
E02000568,Islington 015,17778097.66
E02000569,Islington 016,92111936.52
E02000570,Islington 017,14815090.97
E02000571,Islington 018,46279377.87
E02000572,Islington 019,33621976.44
E02000573,Islington 020,58366185.68
E02000574,Islington 021,52003797.96
E02000575,Islington 022,108754718.7
E02000576,Islington 023,91442900.46
E02000577,Kensington and Chelsea 001,36968005.59
E02000578,Kensington and Chelsea 002,11372436.77
E02000579,Kensington and Chelsea 003,16116478.39
E02000580,Kensington and Chelsea 004,16767801.25
E02000581,Kensington and Chelsea 005,4474583.813
E02000582,Kensington and Chelsea 006,127303638.4
E02000583,Kensington and Chelsea 007,95795255.37
E02000584,Kensington and Chelsea 008,72492583.63
E02000585,Kensington and Chelsea 009,163452944.7
E02000586,Kensington and Chelsea 010,35463603.85
E02000587,Kensington and Chelsea 011,73470941.78
E02000588,Kensington and Chelsea 012,69606531.64
E02000589,Kensington and Chelsea 013,69402221.58
E02000590,Kensington and Chelsea 014,54514564.08
E02000591,Kensington and Chelsea 015,110853252.3
E02000592,Kensington and Chelsea 016,62477941.39
E02000593,Kensington and Chelsea 017,70232919.27
E02000594,Kensington and Chelsea 018,44132917.68
E02000595,Kensington and Chelsea 019,72338616.83
E02000596,Kensington and Chelsea 020,55148029.82
E02000597,Kensington and Chelsea 021,76697960.76
E02000598,Kingston upon Thames 001,5477405.949
E02000599,Kingston upon Thames 002,32029154.59
E02000600,Kingston upon Thames 003,35476985.29
E02000601,Kingston upon Thames 004,12653336.99
E02000602,Kingston upon Thames 005,45777125.25
E02000603,Kingston upon Thames 006,24656228.14
E02000604,Kingston upon Thames 007,14602840.82
E02000605,Kingston upon Thames 008,20267501.09
E02000606,Kingston upon Thames 009,38230315.03
E02000607,Kingston upon Thames 010,7446774.952
E02000608,Kingston upon Thames 011,6137095.144
E02000609,Kingston upon Thames 012,23026900.11
E02000610,Kingston upon Thames 013,7779931.785
E02000611,Kingston upon Thames 014,8903669.639
E02000612,Kingston upon Thames 015,16453406.01
E02000613,Kingston upon Thames 016,9147698.297
E02000614,Kingston upon Thames 017,9477263.363
E02000615,Kingston upon Thames 018,6649600.421
E02000616,Kingston upon Thames 019,3432396.235
E02000617,Kingston upon Thames 020,2833275.358
E02000619,Lambeth 002,48629660.01
E02000620,Lambeth 003,88753026.6
E02000621,Lambeth 004,74731247.63
E02000622,Lambeth 005,154589281.5
E02000623,Lambeth 006,30117295.54
E02000624,Lambeth 007,115963463.3
E02000625,Lambeth 008,57261365.36
E02000626,Lambeth 009,50245575
E02000627,Lambeth 010,96098426.46
E02000628,Lambeth 011,76463182.23
E02000629,Lambeth 012,81880103.53
E02000630,Lambeth 013,46741691.29
E02000631,Lambeth 014,45932014.35
E02000632,Lambeth 015,44174430.22
E02000633,Lambeth 016,84069094.64
E02000634,Lambeth 017,86991495.66
E02000635,Lambeth 018,26935210.91
E02000636,Lambeth 019,136375371.9
E02000637,Lambeth 020,77604635.35
E02000638,Lambeth 021,66229405.2
E02000639,Lambeth 022,59758536.74
E02000640,Lambeth 023,48248502.45
E02000641,Lambeth 024,17783010.2
E02000642,Lambeth 025,49212313.2
E02000643,Lambeth 026,89814366.69
E02000644,Lambeth 027,25383273.55
E02000645,Lambeth 028,53991233.52
E02000646,Lambeth 029,86968897.91
E02000647,Lambeth 030,25608393.71
E02000648,Lambeth 031,26831289.61
E02000649,Lambeth 032,151588786.3
E02000650,Lambeth 033,35437046.74
E02000651,Lambeth 034,86798561.73
E02000652,Lambeth 035,33958010.02
E02000653,Lewisham 001,14831298.96
E02000654,Lewisham 002,20959431.36
E02000655,Lewisham 003,52858571.39
E02000657,Lewisham 005,113911614.7
E02000658,Lewisham 006,107888879.1
E02000659,Lewisham 007,30098903.32
E02000660,Lewisham 008,54277832.7
E02000661,Lewisham 009,67094690.68
E02000662,Lewisham 010,23472536.01
E02000663,Lewisham 011,59881126.17
E02000664,Lewisham 012,101108131
E02000665,Lewisham 013,48438184.59
E02000666,Lewisham 014,27754618.02
E02000667,Lewisham 015,45032793.35
E02000668,Lewisham 016,68391843.66
E02000669,Lewisham 017,35512163.35
E02000670,Lewisham 018,49590377.89
