MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,NUMPOINTS
E02000219,Croydon 026,E09000008,Croydon,E12000007,London,"7686","7650","36",13.5000,"2999",2.6000,8
E02000220,Croydon 027,E09000008,Croydon,E12000007,London,"9881","9509","372",66.1000,"4847",2.0000,9
E02000221,Croydon 028,E09000008,Croydon,E12000007,London,"9820","9630","190",35.0000,"3866",2.5000,7
E02000222,Croydon 029,E09000008,Croydon,E12000007,London,"7891","7806","85",42.4000,"3539",2.2000,4
E02000223,Croydon 030,E09000008,Croydon,E12000007,London,"8371","8371","0",87.1000,"2875",2.9000,4
E02000224,Croydon 031,E09000008,Croydon,E12000007,London,"7684","7646","38",60.0000,"3309",2.3000,1
E02000225,Croydon 032,E09000008,Croydon,E12000007,London,"7535","7534","1",46.2000,"2708",2.8000,2
E02000226,Croydon 033,E09000008,Croydon,E12000007,London,"7539","7350","189",23.0000,"2796",2.6000,5
E02000227,Croydon 034,E09000008,Croydon,E12000007,London,"11411","11411","0",24.8000,"4851",2.4000,4
E02000228,Croydon 035,E09000008,Croydon,E12000007,London,"7609","7539","70",24.3000,"2924",2.6000,2
E02000229,Croydon 036,E09000008,Croydon,E12000007,London,"6374","6315","59",48.3000,"2413",2.6000,3
E02000230,Croydon 037,E09000008,Croydon,E12000007,London,"10045","9745","300",38.4000,"4004",2.4000,5
E02000231,Croydon 038,E09000008,Croydon,E12000007,London,"7685","7441","244",22.9000,"2543",2.9000,6
E02000232,Croydon 039,E09000008,Croydon,E12000007,London,"6207","6178","29",14.2000,"2324",2.7000,2
E02000233,Croydon 040,E09000008,Croydon,E12000007,London,"6135","5977","158",38.7000,"2391",2.5000,4
E02000234,Croydon 041,E09000008,Croydon,E12000007,London,"8023","7980","43",25.8000,"3161",2.5000,3
E02000235,Croydon 042,E09000008,Croydon,E12000007,London,"6968","6900","68",12.9000,"2694",2.6000,2
E02000236,Croydon 043,E09000008,Croydon,E12000007,London,"7659","7631","28",21.4000,"2838",2.7000,3
E02000237,Croydon 044,E09000008,Croydon,E12000007,London,"7475","7455","20",15.1000,"3090",2.4000,4
E02000238,Ealing 001,E09000009,Ealing,E12000007,London,"9500","9381","119",62.4000,"3179",3.0000,3
E02000239,Ealing 002,E09000009,Ealing,E12000007,London,"9000","9000","0",38.2000,"2924",3.1000,2
E02000240,Ealing 003,E09000009,Ealing,E12000007,London,"10265","10265","0",59.4000,"3770",2.7000,3
E02000241,Ealing 004,E09000009,Ealing,E12000007,London,"6639","6639","0",50.9000,"2366",2.8000,1
E02000242,Ealing 005,E09000009,Ealing,E12000007,London,"6763","6763","0",76.1000,"2151",3.1000,3
E02000243,Ealing 006,E09000009,Ealing,E12000007,London,"8509","8467","42",29.9000,"3068",2.8000,4
E02000244,Ealing 007,E09000009,Ealing,E12000007,London,"7172","7172","0",39.9000,"2658",2.7000,1
E02000245,Ealing 008,E09000009,Ealing,E12000007,London,"8156","8144","12",49.3000,"3210",2.5000,4
E02000246,Ealing 009,E09000009,Ealing,E12000007,London,"8748","8748","0",42.5000,"3071",2.8000,3
E02000247,Ealing 010,E09000009,Ealing,E12000007,London,"10308","10090","218",73.7000,"3755",2.7000,3
E02000249,Ealing 012,E09000009,Ealing,E12000007,London,"7721","7678","43",60.4000,"2739",2.8000,3
E02000250,Ealing 013,E09000009,Ealing,E12000007,London,"6487","6367","120",65.0000,"2541",2.5000,1
E02000251,Ealing 014,E09000009,Ealing,E12000007,London,"7944","7944","0",84.0000,"2442",3.3000,1
E02000252,Ealing 015,E09000009,Ealing,E12000007,London,"9706","9647","59",30.4000,"3717",2.6000,2
E02000253,Ealing 016,E09000009,Ealing,E12000007,London,"9632","9565","67",83.3000,"3744",2.6000,3
E02000254,Ealing 017,E09000009,Ealing,E12000007,London,"8949","8827","122",86.0000,"2487",3.5000,2
E02000255,Ealing 018,E09000009,Ealing,E12000007,London,"9465","9329","136",61.1000,"3622",2.6000,4
E02000256,Ealing 019,E09000009,Ealing,E12000007,London,"8861","8651","210",80.8000,"3782",2.3000,6
E02000257,Ealing 020,E09000009,Ealing,E12000007,London,"13509","13210","299",61.9000,"5873",2.2000,9
E02000258,Ealing 021,E09000009,Ealing,E12000007,London,"6730","6659","71",65.2000,"2544",2.6000,3
