MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,NUMPOINTS,nums,CC_w_MSOA
E02000122,Brent 030,E09000005,Brent,E12000007,London,8079,8063,16,67.2,3047,2.6,368.22,67,5.495820896
E02000123,Brent 031,E09000005,Brent,E12000007,London,14719,14657,62,142.2,5884,2.5,628.26,117,5.36974359
E02000124,Brent 032,E09000005,Brent,E12000007,London,10222,10168,54,93.2,4334,2.3,581.55,103,5.646116505
E02000125,Brent 033,E09000005,Brent,E12000007,London,10815,10803,12,141.2,4329,2.5,309.17,56,5.520892857
E02000126,Brent 034,E09000005,Brent,E12000007,London,7775,7738,37,177.6,3381,2.3,333.86,59,5.658644068
E02000127,Bromley 001,E09000006,Bromley,E12000007,London,8483,8435,48,38.1,3675,2.3,781.4,172,4.543023256
E02000128,Bromley 002,E09000006,Bromley,E12000007,London,7294,7230,64,28.8,3006,2.4,640.89,151,4.244304636
E02000130,Bromley 004,E09000006,Bromley,E12000007,London,7914,7889,25,53.3,3464,2.3,492.52,98,5.025714286
E02000131,Bromley 005,E09000006,Bromley,E12000007,London,8954,8894,60,50.7,4589,1.9,793.25,155,5.117741935
E02000132,Bromley 006,E09000006,Bromley,E12000007,London,8567,8486,81,49.3,4668,1.8,947.19,197,4.808071066
E02000133,Bromley 007,E09000006,Bromley,E12000007,London,9606,9403,203,16.1,3961,2.4,1628.53,391,4.165038363
E02000134,Bromley 008,E09000006,Bromley,E12000007,London,10773,10614,159,55.7,5106,2.1,975.67,217,4.496175115
E02000135,Bromley 009,E09000006,Bromley,E12000007,London,9734,9614,120,84.1,4402,2.2,973.82,195,4.993948718
E02000136,Bromley 010,E09000006,Bromley,E12000007,London,5728,5323,405,12.6,2207,2.4,664.6,172,3.863953488
E02000137,Bromley 011,E09000006,Bromley,E12000007,London,7826,7679,147,42,3637,2.1,651.36,144,4.523333333
E02000138,Bromley 012,E09000006,Bromley,E12000007,London,7936,7927,9,38.1,4057,2,820.46,178,4.609325843
E02000139,Bromley 013,E09000006,Bromley,E12000007,London,7284,7266,18,47.4,3202,2.3,546.12,113,4.832920354
E02000140,Bromley 014,E09000006,Bromley,E12000007,London,8041,8041,0,42.6,3301,2.4,646.75,175,3.695714286
E02000141,Bromley 015,E09000006,Bromley,E12000007,London,6940,6918,22,74.4,3055,2.3,372.06,76,4.895526316
E02000142,Bromley 016,E09000006,Bromley,E12000007,London,8285,8075,210,46.6,3283,2.5,686.37,160,4.2898125
E02000144,Bromley 018,E09000006,Bromley,E12000007,London,8681,8663,18,43.7,3831,2.3,795.27,184,4.322119565
E02000145,Bromley 019,E09000006,Bromley,E12000007,London,8086,8076,10,7.2,3376,2.4,853.77042,242,3.527976942
E02000146,Bromley 020,E09000006,Bromley,E12000007,London,8324,8170,154,46.2,3508,2.3,571.64,138,4.142318841
E02000147,Bromley 021,E09000006,Bromley,E12000007,London,7969,7951,18,35.4,3183,2.5,562.06,129,4.357054264
E02000148,Bromley 022,E09000006,Bromley,E12000007,London,6585,6554,31,23.5,2633,2.5,610.68,154,3.965454545
E02000149,Bromley 023,E09000006,Bromley,E12000007,London,7708,7706,2,41,3249,2.4,615.89,169,3.644319527
E02000150,Bromley 024,E09000006,Bromley,E12000007,London,8351,8235,116,27.1,3109,2.6,390.79,87,4.49183908
E02000152,Bromley 026,E09000006,Bromley,E12000007,London,6572,6561,11,25.5,2623,2.5,641.32,164,3.910487805
E02000153,Bromley 027,E09000006,Bromley,E12000007,London,7755,7755,0,34.5,2860,2.7,587.61,142,4.138098592
E02000154,Bromley 028,E09000006,Bromley,E12000007,London,7959,7917,42,38.1,3293,2.4,720.02,201,3.582189055
E02000155,Bromley 029,E09000006,Bromley,E12000007,London,6905,6905,0,38,3057,2.3,571.41,164,3.484207317
E02000156,Bromley 030,E09000006,Bromley,E12000007,London,12094,12022,72,31.5,4756,2.5,759.05,182,4.170604396
E02000157,Bromley 031,E09000006,Bromley,E12000007,London,7964,7964,0,32.5,3300,2.4,778.89,218,3.572889908
E02000158,Bromley 032,E09000006,Bromley,E12000007,London,7364,7364,0,34.1,2952,2.5,466.49,138,3.380362319
E02000159,Bromley 033,E09000006,Bromley,E12000007,London,6812,6812,0,11.6,2749,2.5,825.18,218,3.785229358
E02000160,Bromley 034,E09000006,Bromley,E12000007,London,7856,7725,131,9.3,2968,2.6,627.05,157,3.993949045
E02000161,Bromley 035,E09000006,Bromley,E12000007,London,8410,8378,32,48.9,3369,2.5,843.83,246,3.430203252
E02000162,Bromley 036,E09000006,Bromley,E12000007,London,6693,6647,46,5.2,2889,2.3,906.99,258,3.515465116
E02000163,Bromley 037,E09000006,Bromley,E12000007,London,7650,7650,0,6.8,3072,2.5,942.26,285,3.306175439
E02000165,Bromley 039,E09000006,Bromley,E12000007,London,7045,7045,0,12.4,2691,2.6,448.42,141,3.180283688
E02000166,Camden 001,E09000007,Camden,E12000007,London,7924,7916,8,26.2,3537,2.2,437.51,78,5.609102564
E02000167,Camden 002,E09000007,Camden,E12000007,London,7944,7869,75,38.2,3629,2.2,800.47,143,5.597692308
E02000168,Camden 003,E09000007,Camden,E12000007,London,8172,8040,132,120.1,3535,2.3,471.43,81,5.820123457
E02000169,Camden 004,E09000007,Camden,E12000007,London,7637,6981,656,68,2942,2.4,501.62,90,5.573555556
E02000170,Camden 005,E09000007,Camden,E12000007,London,8338,8293,45,108.1,3685,2.3,427.59,78,5.481923077
E02000171,Camden 006,E09000007,Camden,E12000007,London,7818,7789,29,149.9,3502,2.2,488.6,85,5.748235294
E02000172,Camden 007,E09000007,Camden,E12000007,London,10147,9919,228,151.7,4186,2.4,606.35,104,5.830288462
E02000173,Camden 008,E09000007,Camden,E12000007,London,7675,7565,110,98.6,3569,2.1,428.72,75,5.716266667
E02000174,Camden 009,E09000007,Camden,E12000007,London,8714,8703,11,159.7,3822,2.3,483.58,82,5.897317073
E02000175,Camden 010,E09000007,Camden,E12000007,London,8848,8846,2,127.9,4277,2.1,407.9,73,5.587671233
E02000176,Camden 011,E09000007,Camden,E12000007,London,6373,6289,84,160.2,3261,1.9,272.22,47,5.791914894
E02000177,Camden 012,E09000007,Camden,E12000007,London,8948,8863,85,170.9,3865,2.3,470.81,80,5.885125
E02000178,Camden 013,E09000007,Camden,E12000007,London,8857,8823,34,157.7,4280,2.1,252.63,45,5.614
E02000179,Camden 014,E09000007,Camden,E12000007,London,6329,6305,24,165.5,2870,2.2,484.74,83,5.840240964
E02000180,Camden 015,E09000007,Camden,E12000007,London,8202,7662,540,169,3394,2.3,357.79,60,5.963166667
E02000181,Camden 016,E09000007,Camden,E12000007,London,7708,7703,5,142.5,3657,2.1,199.3,35,5.694285714
E02000182,Camden 017,E09000007,Camden,E12000007,London,6697,6638,59,83.9,2963,2.2,492.39,85,5.792823529
E02000183,Camden 018,E09000007,Camden,E12000007,London,7913,7909,4,102.5,3881,2,672.24,113,5.949026549
E02000184,Camden 019,E09000007,Camden,E12000007,London,8882,8726,156,133.6,3655,2.4,512.49,85,6.029294118
E02000185,Camden 020,E09000007,Camden,E12000007,London,8290,8213,77,175.6,3938,2.1,311.94,54,5.776666667
E02000186,Camden 021,E09000007,Camden,E12000007,London,6687,6491,196,66.7,3099,2.1,733.38,120,6.1115
E02000187,Camden 022,E09000007,Camden,E12000007,London,8155,8064,91,84.2,3290,2.5,520.99,86,6.058023256
E02000188,Camden 023,E09000007,Camden,E12000007,London,8322,7939,383,163.9,3170,2.5,345.8,56,6.175
E02000189,Camden 024,E09000007,Camden,E12000007,London,5944,5407,537,199.7,2253,2.4,481.97,77,6.259350649
E02000190,Camden 025,E09000007,Camden,E12000007,London,7530,5914,1616,203.2,3181,1.9,428.18,68,6.296764706
E02000191,Camden 026,E09000007,Camden,E12000007,London,7497,5545,1952,116.8,2868,1.9,687.81,111,6.196486486
E02000192,Camden 027,E09000007,Camden,E12000007,London,7157,7021,136,165.5,3375,2.1,545.07,86,6.338023256
E02000193,Camden 028,E09000007,Camden,E12000007,London,7630,7010,620,70.1,3850,1.8,1400.35,219,6.394292237
E02000194,Croydon 001,E09000008,Croydon,E12000007,London,8696,8536,160,62.5,4099,2.1,1093.9,213,5.135680751
E02000195,Croydon 002,E09000008,Croydon,E12000007,London,9152,9112,40,47.3,3446,2.6,774.43,150,5.162866667
E02000196,Croydon 003,E09000008,Croydon,E12000007,London,7403,7366,37,60.4,2553,2.9,375.21,74,5.070405405
E02000197,Croydon 004,E09000008,Croydon,E12000007,London,9094,9072,22,91.6,3403,2.7,535.84,107,5.007850467
E02000198,Croydon 005,E09000008,Croydon,E12000007,London,8070,8021,49,90.5,3338,2.4,539.12,108,4.991851852
E02000199,Croydon 006,E09000008,Croydon,E12000007,London,8430,8423,7,97.7,3172,2.7,398.75,81,4.922839506
E02000200,Croydon 007,E09000008,Croydon,E12000007,London,8294,8192,102,66.5,3811,2.1,665.97,136,4.896838235
E02000201,Croydon 008,E09000008,Croydon,E12000007,London,8281,8281,0,96.4,3814,2.2,702.8,147,4.780952381
E02000202,Croydon 009,E09000008,Croydon,E12000007,London,8548,8503,45,116.3,2981,2.9,336.22,69,4.872753623
E02000203,Croydon 010,E09000008,Croydon,E12000007,London,7539,7494,45,97.5,3062,2.4,397.29,82,4.845
E02000204,Croydon 011,E09000008,Croydon,E12000007,London,9407,9310,97,86.6,3146,3,460.58,96,4.797708333
E02000206,Croydon 013,E09000008,Croydon,E12000007,London,9539,9399,140,65.3,4009,2.3,700.74,148,4.73472973
E02000207,Croydon 014,E09000008,Croydon,E12000007,London,8999,8977,22,72.5,3592,2.5,624.02,136,4.588382353
E02000208,Croydon 015,E09000008,Croydon,E12000007,London,9790,9645,145,111.8,3821,2.5,578.98,123,4.707154472
E02000209,Croydon 016,E09000008,Croydon,E12000007,London,8414,8411,3,83.9,2919,2.9,593.51,130,4.565461538
E02000210,Croydon 017,E09000008,Croydon,E12000007,London,8310,8300,10,107.2,3371,2.5,481.82,107,4.502990654
E02000211,Croydon 018,E09000008,Croydon,E12000007,London,8000,8000,0,47.7,3279,2.4,896.62,205,4.373756098
E02000212,Croydon 019,E09000008,Croydon,E12000007,London,8523,8522,1,68.7,2977,2.9,572.79,125,4.58232
E02000213,Croydon 020,E09000008,Croydon,E12000007,London,9551,9495,56,92.6,4160,2.3,661.73,144,4.595347222
E02000214,Croydon 021,E09000008,Croydon,E12000007,London,6236,6219,17,60.5,2321,2.7,345.34,78,4.427435897
E02000215,Croydon 022,E09000008,Croydon,E12000007,London,10518,10414,104,106.6,4991,2.1,462.5,104,4.447115385
E02000216,Croydon 023,E09000008,Croydon,E12000007,London,6738,6622,116,30.8,3028,2.2,662.44,154,4.301558442
E02000217,Croydon 024,E09000008,Croydon,E12000007,London,9688,9688,0,67.7,4273,2.3,936.86,213,4.398403756
E02000218,Croydon 025,E09000008,Croydon,E12000007,London,6640,6640,0,58.3,2369,2.8,506.1,122,4.148360656
E02000219,Croydon 026,E09000008,Croydon,E12000007,London,7686,7650,36,13.5,2999,2.6,986.69,237,4.163248945
E02000220,Croydon 027,E09000008,Croydon,E12000007,London,9881,9509,372,66.1,4847,2,701.84,162,4.332345679
E02000221,Croydon 028,E09000008,Croydon,E12000007,London,9820,9630,190,35,3866,2.5,913.23,218,4.18912844
E02000222,Croydon 029,E09000008,Croydon,E12000007,London,7891,7806,85,42.4,3539,2.2,684.64,165,4.149333333
E02000223,Croydon 030,E09000008,Croydon,E12000007,London,8371,8371,0,87.1,2875,2.9,335.65,89,3.771348315
E02000224,Croydon 031,E09000008,Croydon,E12000007,London,7684,7646,38,60,3309,2.3,420.42,105,4.004
E02000225,Croydon 032,E09000008,Croydon,E12000007,London,7535,7534,1,46.2,2708,2.8,385.47,105,3.671142857
E02000226,Croydon 033,E09000008,Croydon,E12000007,London,7539,7350,189,23,2796,2.6,415.66,107,3.884672897
E02000227,Croydon 034,E09000008,Croydon,E12000007,London,11411,11411,0,24.8,4851,2.4,1256.26,332,3.783915663
E02000228,Croydon 035,E09000008,Croydon,E12000007,London,7609,7539,70,24.3,2924,2.6,782.07,203,3.852561576
E02000229,Croydon 036,E09000008,Croydon,E12000007,London,6374,6315,59,48.3,2413,2.6,424.93,119,3.570840336
E02000230,Croydon 037,E09000008,Croydon,E12000007,London,10045,9745,300,38.4,4004,2.4,686.08,178,3.854382022
E02000231,Croydon 038,E09000008,Croydon,E12000007,London,7685,7441,244,22.9,2543,2.9,410.36,110,3.730545455
E02000232,Croydon 039,E09000008,Croydon,E12000007,London,6207,6178,29,14.2,2324,2.7,487.65,134,3.639179104
