MSOA Code,MSOA Name,house_mean_price,crime_rate,PM_index
E02000342,Greenwich 030,208114,44,79
E02000343,Greenwich 031,258508,65,86
E02000344,Greenwich 032,269686,46,84
E02000345,Hackney 001,389514,63,107
E02000346,Hackney 002,293282,81,115
E02000347,Hackney 003,337257,44,97
E02000348,Hackney 004,360248,56,104
E02000349,Hackney 005,267551,65,103
E02000350,Hackney 006,407674,56,109
E02000351,Hackney 007,360516,80,120
E02000352,Hackney 008,384181,57,104
E02000353,Hackney 009,542771,109,118
E02000354,Hackney 010,312394,83,113
E02000355,Hackney 011,397378,79,115
E02000356,Hackney 012,501104,66,107
E02000357,Hackney 013,250874,93,94
E02000358,Hackney 014,388249,115,111
E02000359,Hackney 015,385034,73,104
E02000360,Hackney 016,316980,66,124
E02000361,Hackney 017,334768,180,140
E02000362,Hackney 018,305982,114,138
E02000363,Hackney 019,291007,99,123
E02000364,Hackney 020,459880,114,119
E02000365,Hackney 021,457338,193,125
E02000366,Hackney 022,484224,97,120
E02000367,Hackney 023,388182,167,121
E02000368,Hackney 024,343527,66,112
E02000369,Hackney 025,341883,86,121
E02000370,Hackney 026,424787,78,121
E02000371,Hackney 027,482083,370,156
E02000372,Hammersmith and Fulham 001,369531,124,129
E02000373,Hammersmith and Fulham 002,299000,63,115
E02000374,Hammersmith and Fulham 003,523191,77,122
E02000375,Hammersmith and Fulham 004,463486,377,126
E02000376,Hammersmith and Fulham 005,489821,170,118
E02000377,Hammersmith and Fulham 006,472332,90,119
E02000378,Hammersmith and Fulham 007,469275,118,137
E02000379,Hammersmith and Fulham 008,643270,61,106
E02000380,Hammersmith and Fulham 009,751168,68,115
E02000381,Hammersmith and Fulham 010,879523,74,112
E02000382,Hammersmith and Fulham 011,717995,132,133
E02000383,Hammersmith and Fulham 012,525229,71,138
E02000384,Hammersmith and Fulham 013,624099,319,162
E02000385,Hammersmith and Fulham 014,465007,86,133
E02000386,Hammersmith and Fulham 015,400934,79,126
E02000387,Hammersmith and Fulham 016,509759,84,117
E02000388,Hammersmith and Fulham 017,624576,116,118
E02000389,Hammersmith and Fulham 018,705750,66,107
E02000390,Hammersmith and Fulham 019,706637,62,109
E02000391,Hammersmith and Fulham 020,1200599,126,126
E02000392,Hammersmith and Fulham 021,883230,111,112
E02000393,Hammersmith and Fulham 022,779370,58,110
E02000394,Hammersmith and Fulham 023,713398,57,102
E02000395,Hammersmith and Fulham 024,947621,93,104
E02000396,Hammersmith and Fulham 025,862851,76,106
E02000397,Haringey 001,268937,64,97
E02000398,Haringey 002,164997,105,90
E02000399,Haringey 003,197922,122,100
E02000400,Haringey 004,371031,78,103
E02000401,Haringey 005,232625,72,102
E02000402,Haringey 006,203214,88,97
E02000403,Haringey 007,292615,87,103
E02000404,Haringey 008,262675,64,99
E02000405,Haringey 009,528104,84,92
E02000406,Haringey 010,269982,59,98
E02000407,Haringey 011,195685,100,111
E02000408,Haringey 012,200199,114,113
E02000409,Haringey 013,273857,62,98
E02000410,Haringey 014,548107,65,102
E02000411,Haringey 015,182860,81,101
E02000412,Haringey 016,302215,324,113
E02000413,Haringey 017,764078,41,90
E02000414,Haringey 018,247858,67,100
E02000415,Haringey 019,299327,86,105
E02000416,Haringey 020,336721,63,98
E02000417,Haringey 021,635830,94,96
E02000418,Haringey 022,533943,53,100
E02000419,Haringey 023,371090,82,114
E02000420,Haringey 024,239698,120,109
E02000421,Haringey 025,202800,120,125
E02000422,Haringey 026,263923,76,110
E02000423,Haringey 027,301480,76,108
E02000424,Haringey 028,457668,45,95
E02000425,Haringey 029,317786,62,108
E02000426,Haringey 030,785000,65,100
E02000427,Haringey 031,402192,88,111
E02000428,Haringey 032,261690,77,107
E02000429,Haringey 033,505175,57,96
E02000430,Haringey 034,474752,78,103
E02000431,Haringey 035,530327,47,115
E02000432,Haringey 036,391840,59,111
E02000433,Harrow 001,542939,60,73
E02000434,Harrow 002,396628,49,78
E02000435,Harrow 003,385705,47,75
E02000436,Harrow 004,555232,33,69
E02000437,Harrow 005,347695,47,80
E02000438,Harrow 006,337640,54,82
E02000439,Harrow 007,288991,61,82
E02000440,Harrow 008,398540,52,81
E02000441,Harrow 009,449647,39,69
E02000442,Harrow 010,284621,46,83
E02000443,Harrow 011,246519,63,82
E02000444,Harrow 012,336308,50,84
E02000445,Harrow 013,250109,77,86
E02000446,Harrow 014,309269,38,82
E02000447,Harrow 015,343739,37,76
E02000448,Harrow 016,479168,49,77
E02000449,Harrow 017,290354,35,87
E02000450,Harrow 018,341508,49,87
E02000451,Harrow 019,352855,32,78
E02000452,Harrow 020,260965,73,85
E02000453,Harrow 021,251239,38,84
E02000454,Harrow 022,444407,23,75
E02000455,Harrow 023,307091,125,98
E02000456,Harrow 024,305685,39,86
E02000457,Harrow 025,370709,42,80
E02000458,Harrow 026,287275,33,77
E02000459,Harrow 027,245911,58,86
E02000460,Harrow 028,252661,49,81
E02000461,Harrow 029,365021,42,87
E02000462,Harrow 030,249957,70,91
E02000463,Harrow 031,257058,45,84
E02000464,Havering 001,202325,49,69
E02000465,Havering 002,182746,64,73
E02000466,Havering 003,214800,45,61
E02000467,Havering 004,153333,89,68
E02000468,Havering 005,221255,52,63
E02000469,Havering 006,183151,59,72
E02000470,Havering 007,231514,76,68
E02000471,Havering 008,291577,40,73
E02000472,Havering 009,234824,41,75
E02000473,Havering 010,261946,44,72
E02000474,Havering 011,191635,57,75
E02000475,Havering 012,334372,51,74
E02000476,Havering 013,188874,308,92
E02000477,Havering 014,271420,33,72
E02000478,Havering 015,589736,27,64
E02000479,Havering 016,198901,83,88
E02000480,Havering 017,178230,85,77
E02000481,Havering 018,273794,27,71
E02000482,Havering 019,408734,32,64
E02000483,Havering 020,232956,88,70
E02000484,Havering 021,241127,48,71
E02000485,Havering 022,271347,53,66
E02000486,Havering 023,231065,43,68
E02000487,Havering 024,419698,36,65
E02000488,Havering 025,249927,32,66
E02000489,Havering 026,221485,50,68
E02000490,Havering 027,201812,59,70
E02000491,Havering 028,193571,81,80
E02000492,Havering 029,229063,52,70
E02000493,Havering 030,180615,94,82
E02000494,Hillingdon 001,664253,34,62
E02000495,Hillingdon 002,322358,57,70
E02000496,Hillingdon 003,297398,58,59
E02000497,Hillingdon 004,383076,37,70
E02000498,Hillingdon 005,366275,38,65
E02000499,Hillingdon 006,395862,37,74
E02000500,Hillingdon 007,399803,75,71
E02000501,Hillingdon 008,315445,35,72
E02000502,Hillingdon 009,316644,42,77
E02000503,Hillingdon 010,293153,28,79
E02000504,Hillingdon 011,414387,31,74
E02000505,Hillingdon 012,271953,73,84
E02000506,Hillingdon 013,468961,50,78
E02000507,Hillingdon 014,263817,39,80
E02000508,Hillingdon 015,232337,140,78
E02000509,Hillingdon 016,226704,96,76
E02000510,Hillingdon 017,267769,74,80
E02000511,Hillingdon 018,233124,57,75
E02000512,Hillingdon 019,227896,81,79
E02000513,Hillingdon 020,183066,80,81
E02000514,Hillingdon 021,239201,77,83
E02000515,Hillingdon 022,195336,92,81
E02000516,Hillingdon 023,221614,60,88
E02000517,Hillingdon 024,228662,66,83
E02000518,Hillingdon 025,235066,65,90
E02000519,Hillingdon 026,219119,106,93
E02000520,Hillingdon 027,240663,116,106
E02000521,Hillingdon 028,242420,71,104
E02000522,Hillingdon 029,240487,69,102
E02000523,Hillingdon 030,212667,89,121
E02000524,Hillingdon 031,221074,379,118
E02000525,Hillingdon 032,210535,88,109
E02000526,Hounslow 001,845204,95,120
E02000527,Hounslow 002,571007,138,119
E02000528,Hounslow 003,304268,89,108
E02000529,Hounslow 004,227828,53,104
E02000530,Hounslow 005,184971,125,107
E02000531,Hounslow 006,395215,75,101
E02000532,Hounslow 007,713778,85,101
E02000533,Hounslow 008,584471,64,109
E02000534,Hounslow 009,368267,83,93
E02000535,Hounslow 010,284988,64,100
E02000536,Hounslow 011,283455,69,100
E02000537,Hounslow 012,387802,64,91
E02000538,Hounslow 013,251679,90,101
E02000539,Hounslow 014,288471,68,94
E02000540,Hounslow 015,289295,99,92
E02000541,Hounslow 016,251263,83,94
E02000542,Hounslow 017,237613,107,99
E02000543,Hounslow 018,244239,177,96
E02000544,Hounslow 019,286702,41,85
E02000545,Hounslow 020,310100,71,89
E02000546,Hounslow 021,235435,51,81
E02000547,Hounslow 022,215221,73,93
E02000548,Hounslow 023,181556,68,84
E02000549,Hounslow 024,215746,78,86
E02000550,Hounslow 025,197054,91,81
E02000551,Hounslow 026,202719,78,84
E02000552,Hounslow 027,208197,70,76
E02000553,Hounslow 028,233235,58,82
E02000554,Islington 001,382057,72,107
E02000555,Islington 002,460892,67,111
E02000556,Islington 003,363792,99,110
E02000557,Islington 004,463931,115,124
E02000558,Islington 005,254049,124,121
E02000559,Islington 006,507098,80,114
E02000560,Islington 007,370785,183,129
E02000561,Islington 008,530825,69,105
E02000562,Islington 009,513595,73,110
E02000563,Islington 010,394518,77,116
E02000564,Islington 011,376414,99,121
E02000565,Islington 012,440705,93,120
