MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y
E02000123,Brent 031,E09000005,Brent,E12000007,London,14719,14657,62,142.2,5884,2.5,521766.819,183391.839
E02000124,Brent 032,E09000005,Brent,E12000007,London,10222,10168,54,93.2,4334,2.3,524171.376,183322.344
E02000125,Brent 033,E09000005,Brent,E12000007,London,10815,10803,12,141.2,4329,2.5,522933.805,183203.079
E02000126,Brent 034,E09000005,Brent,E12000007,London,7775,7738,37,177.6,3381,2.3,525171.431,183118.703
E02000127,Bromley 001,E09000006,Bromley,E12000007,London,8483,8435,48,38.1,3675,2.3,541919.008,172435.281
E02000128,Bromley 002,E09000006,Bromley,E12000007,London,7294,7230,64,28.8,3006,2.4,544232.341,171416.163
E02000130,Bromley 004,E09000006,Bromley,E12000007,London,7914,7889,25,53.3,3464,2.3,535926.887,170683.393
E02000131,Bromley 005,E09000006,Bromley,E12000007,London,8954,8894,60,50.7,4589,1.9,534344.372,170694.229
E02000132,Bromley 006,E09000006,Bromley,E12000007,London,8567,8486,81,49.3,4668,1.8,537164.590,170313.629
E02000133,Bromley 007,E09000006,Bromley,E12000007,London,9606,9403,203,16.1,3961,2.4,543264.114,169902.217
E02000134,Bromley 008,E09000006,Bromley,E12000007,London,10773,10614,159,55.7,5106,2.1,540465.932,170058.887
E02000135,Bromley 009,E09000006,Bromley,E12000007,London,9734,9614,120,84.1,4402,2.2,534848.402,169849.718
E02000136,Bromley 010,E09000006,Bromley,E12000007,London,5728,5323,405,12.6,2207,2.4,545446.909,169711.428
E02000137,Bromley 011,E09000006,Bromley,E12000007,London,7826,7679,147,42,3637,2.1,539003.755,169491.452
E02000138,Bromley 012,E09000006,Bromley,E12000007,London,7936,7927,9,38.1,4057,2,537937.332,169329.896
E02000139,Bromley 013,E09000006,Bromley,E12000007,London,7284,7266,18,47.4,3202,2.3,536196.671,169577.076
E02000140,Bromley 014,E09000006,Bromley,E12000007,London,8041,8041,0,42.6,3301,2.4,546774.660,169414.481
E02000141,Bromley 015,E09000006,Bromley,E12000007,London,6940,6918,22,74.4,3055,2.3,535176.334,169137.651
E02000142,Bromley 016,E09000006,Bromley,E12000007,London,8285,8075,210,46.6,3283,2.5,541532.876,169279.183
E02000144,Bromley 018,E09000006,Bromley,E12000007,London,8681,8663,18,43.7,3831,2.3,540227.083,168607.947
E02000145,Bromley 019,E09000006,Bromley,E12000007,London,8086,8076,10,7.2,3376,2.4,548661.281,168148.740
E02000146,Bromley 020,E09000006,Bromley,E12000007,London,8324,8170,154,46.2,3508,2.3,541542.333,168081.022
E02000147,Bromley 021,E09000006,Bromley,E12000007,London,7969,7951,18,35.4,3183,2.5,539016.692,168012.760
E02000148,Bromley 022,E09000006,Bromley,E12000007,London,6585,6554,31,23.5,2633,2.5,543508.575,167951.580
E02000149,Bromley 023,E09000006,Bromley,E12000007,London,7708,7706,2,41,3249,2.4,546404.610,167822.018
E02000150,Bromley 024,E09000006,Bromley,E12000007,London,8351,8235,116,27.1,3109,2.6,537255.314,167440.014
E02000151,Bromley 025,E09000006,Bromley,E12000007,London,7574,7574,0,36,2994,2.5,544765.227,167289.386
E02000152,Bromley 026,E09000006,Bromley,E12000007,London,6572,6561,11,25.5,2623,2.5,542628.062,166982.966
E02000153,Bromley 027,E09000006,Bromley,E12000007,London,7755,7755,0,34.5,2860,2.7,540116.990,166903.476
E02000154,Bromley 028,E09000006,Bromley,E12000007,London,7959,7917,42,38.1,3293,2.4,545894.389,166567.267
E02000155,Bromley 029,E09000006,Bromley,E12000007,London,6905,6905,0,38,3057,2.3,547213.234,166496.083
E02000156,Bromley 030,E09000006,Bromley,E12000007,London,12094,12022,72,31.5,4756,2.5,538386.388,166045.647
E02000157,Bromley 031,E09000006,Bromley,E12000007,London,7964,7964,0,32.5,3300,2.4,544507.437,165829.015
E02000158,Bromley 032,E09000006,Bromley,E12000007,London,7364,7364,0,34.1,2952,2.5,547274.947,165451.349
E02000159,Bromley 033,E09000006,Bromley,E12000007,London,6812,6812,0,11.6,2749,2.5,542235.132,164793.240
E02000160,Bromley 034,E09000006,Bromley,E12000007,London,7856,7725,131,9.3,2968,2.6,540100.933,164867.362
E02000161,Bromley 035,E09000006,Bromley,E12000007,London,8410,8378,32,48.9,3369,2.5,545832.763,164818.518
E02000162,Bromley 036,E09000006,Bromley,E12000007,London,6693,6647,46,5.2,2889,2.3,544372.219,162660.177
