MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,x,y,HousingPrice,CC_w,BC_w
E02000078,Bexley 014,E09000004,Bexley,E12000007,London,7665,7665,0,51.5,3036,2.5,550652.213,176282.714,329971.75,3.576302521,7938876.067
E02000079,Bexley 015,E09000004,Bexley,E12000007,London,7865,7713,152,47.7,3267,2.4,548768.929,175474.633,353876.5,3.876071429,26245021.08
E02000080,Bexley 016,E09000004,Bexley,E12000007,London,9430,9430,0,55.7,3702,2.5,546347.022,175493.497,355891.5,4.233049645,43115242.09
E02000081,Bexley 017,E09000004,Bexley,E12000007,London,7513,7486,27,34.1,3106,2.4,550145.705,175235.882,334573.5,3.693762887,11870160.28
E02000082,Bexley 018,E09000004,Bexley,E12000007,London,8876,8876,0,59.3,3356,2.6,545269.212,175362.717,389990.75,4.3209,29659704.69
E02000083,Bexley 019,E09000004,Bexley,E12000007,London,9771,9750,21,26.1,3985,2.4,551689.926,174881.302,296582.25,3.438233333,4235946.08
E02000084,Bexley 020,E09000004,Bexley,E12000007,London,10641,10635,6,41,4209,2.5,547931.344,174782.987,440392.5,3.939877551,19152478.01
E02000085,Bexley 021,E09000004,Bexley,E12000007,London,7893,7893,0,48.6,3084,2.6,546748.216,174274.598,360218,4.051742424,17536227.63
E02000086,Bexley 022,E09000004,Bexley,E12000007,London,7328,7323,5,49.2,2789,2.6,545877.857,173784.079,404119.25,4.134178082,8833714.658
E02000087,Bexley 023,E09000004,Bexley,E12000007,London,7579,7559,20,20.4,3142,2.4,549668.899,173548.179,480938.5,3.64746888,4661476.68
E02000088,Bexley 024,E09000004,Bexley,E12000007,London,7737,7737,0,38.7,2984,2.6,547642.879,173205.943,420225.75,3.845299145,8968245.325
E02000089,Bexley 025,E09000004,Bexley,E12000007,London,7783,7635,148,56.9,2899,2.6,545083.532,172914.687,456927,4.216698113,16162707.01
E02000090,Bexley 026,E09000004,Bexley,E12000007,London,8726,8469,257,48.2,3962,2.1,545880.499,172226.272,367957,4.05451087,10578109.2
E02000091,Bexley 027,E09000004,Bexley,E12000007,London,9682,9542,140,35.4,4279,2.2,546867.261,171710.937,368372,3.928047619,10033242.38
E02000092,Bexley 028,E09000004,Bexley,E12000007,London,6426,6407,19,10.7,2722,2.4,548646.733,171466.817,318738.5,3.705141243,5158283.616
E02000093,Brent 001,E09000005,Brent,E12000007,London,10883,10776,107,79,3408,3.2,519612.086,189691.191,472717.25,4.476722689,34091985.96
E02000094,Brent 002,E09000005,Brent,E12000007,London,8746,8640,106,75.2,2738,3.2,520666.076,189156.515,369760.5,4.663909091,26968644.59
E02000095,Brent 003,E09000005,Brent,E12000007,London,9921,9783,138,64.1,3117,3.1,519253.376,188678.364,482655,4.514666667,25218028.36
E02000096,Brent 004,E09000005,Brent,E12000007,London,7598,7535,63,46.5,2518,3,517633.435,188209.928,611069.25,4.358911565,34713775.33
E02000097,Brent 005,E09000005,Brent,E12000007,London,8958,8958,0,47.9,2926,3.1,520391.104,187860.628,451684.25,4.7175,10773735.11
E02000098,Brent 006,E09000005,Brent,E12000007,London,7944,7917,27,43.2,2652,3,518979.781,187545.857,546160.75,4.517154472,24306654.83
E02000099,Brent 007,E09000005,Brent,E12000007,London,8707,8651,56,67.6,2782,3.1,517819.02,186969.375,425397.75,4.478454545,9681765.177
E02000100,Brent 008,E09000005,Brent,E12000007,London,8388,7718,670,40.4,2696,2.9,516664.303,187131.28,677639.5,4.279508197,37512549.58
E02000101,Brent 009,E09000005,Brent,E12000007,London,9332,9162,170,66.5,3312,2.8,520021.817,186701.085,462779.25,4.780122699,48454151.03
E02000102,Brent 010,E09000005,Brent,E12000007,London,7787,7783,4,57.3,2496,3.1,521307.994,186729.286,353138.5,4.919387755,12587439.21
E02000103,Brent 011,E09000005,Brent,E12000007,London,8723,8705,18,49.2,2994,2.9,522480.57,186449.005,463334.5,5.072905983,6257380.299
E02000104,Brent 012,E09000005,Brent,E12000007,London,6767,6665,102,61.1,2213,3,518491.003,186231.996,457102.75,4.631547619,38214044.13
E02000105,Brent 013,E09000005,Brent,E12000007,London,9202,9160,42,67.2,2997,3.1,517044.286,185874.198,342348.25,4.4546875,51843364.18
E02000106,Brent 014,E09000005,Brent,E12000007,London,10217,10208,9,76.2,3449,3,521367.2,185741.601,475288.5,5.029666667,76624331.31
E02000107,Brent 015,E09000005,Brent,E12000007,London,10692,10625,67,112,4107,2.6,523476.842,185579.708,705089.25,5.323116883,27773021.75
E02000108,Brent 016,E09000005,Brent,E12000007,London,6584,6565,19,81,2147,3.1,516206.564,185582.787,390737,4.373815789,50144896.88
E02000109,Brent 017,E09000005,Brent,E12000007,London,9864,9693,171,50.8,3264,3,519535.679,185521.985,426421.75,4.740192308,27058932.79
E02000110,Brent 018,E09000005,Brent,E12000007,London,8087,8083,4,101.2,2969,2.7,522687.717,185288.842,765971.25,5.284716981,31953508.77
E02000111,Brent 019,E09000005,Brent,E12000007,London,9782,9696,86,86.7,2914,3.3,517632.949,184997.324,401042.5,4.565504587,35911274.87
E02000112,Brent 020,E09000005,Brent,E12000007,London,9432,9326,106,74.3,2892,3.2,518994.681,184864.256,390144.5,4.809672131,71451898.03
E02000113,Brent 021,E09000005,Brent,E12000007,London,9655,9655,0,65.1,3306,2.9,520618.907,184950.026,308758.5,4.960876289,17330919.15
E02000114,Brent 022,E09000005,Brent,E12000007,London,9010,8997,13,146.9,3528,2.6,522920.424,184585.863,549437,5.398382353,72869992.82
E02000115,Brent 023,E09000005,Brent,E12000007,London,8340,8298,42,98.3,3911,2.1,524052.739,184647.699,670949.75,5.5335,81338266.4
E02000116,Brent 024,E09000005,Brent,E12000007,London,8153,8146,7,74.4,3072,2.7,522308.415,184323.293,446759.25,5.326142857,72409811.77
E02000117,Brent 025,E09000005,Brent,E12000007,London,12013,11944,69,135,4557,2.6,521454.766,184324.778,411581.25,5.21062069,37698929.62
E02000118,Brent 026,E09000005,Brent,E12000007,London,9425,9419,6,76.4,2849,3.3,518748.537,184135.069,378439.75,4.707979798,4048375.596
E02000119,Brent 027,E09000005,Brent,E12000007,London,7248,7222,26,28.2,2597,2.8,520089.813,183435.282,436604.25,5.06,49642155.02
E02000120,Brent 028,E09000005,Brent,E12000007,London,9214,9204,10,182.1,4277,2.2,524908.404,183896.794,705640,5.671864407,88688256.51
E02000121,Brent 029,E09000005,Brent,E12000007,London,8933,8932,1,64,2623,3.4,517974.719,183750.709,367252,4.697164179,54204290.7
E02000122,Brent 030,E09000005,Brent,E12000007,London,8079,8063,16,67.2,3047,2.6,523507.506,183925.832,1273018.5,5.495820896,44872241.61
E02000123,Brent 031,E09000005,Brent,E12000007,London,14719,14657,62,142.2,5884,2.5,521766.819,183391.839,547049.75,5.36974359,98748396.95
